epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.04557,1.76736,5.35158,0.00744,0.0029,0.95536,0.00599,0.00352,1.19167,4.69193,0.00593,0.0002,0.0002,0.0002
2,12.3882,1.12722,3.84816,0.00403,0.00301,0.99107,0.00896,0.00651,0.67505,4.43372,0.00323,0.000417228,0.000417228,0.000417228
3,15.3683,1.06463,2.8397,0.0038,0.00304,1,0.00874,0.00687,0.70412,4.39372,0.00353,0.000631552,0.000631552,0.000631552
4,18.362,0.98471,2.33346,0.00363,0.00304,1,0.0096,0.00795,0.64368,4.21286,0.00316,0.000842972,0.000842972,0.000842972
5,21.3234,0.98795,1.88817,0.00349,0.00304,1,0.63159,0.48177,0.85318,3.80117,0.00423,0.00105149,0.00105149,0.00105149
6,24.1666,0.96275,1.64165,0.00354,0.97628,0.36758,0.85888,0.61975,0.994,3.39268,0.00514,0.0012571,0.0012571,0.0012571
7,27.1889,0.9649,1.38876,0.00364,1,0.28435,0.92978,0.68678,0.9508,2.87618,0.00486,0.00145981,0.00145981,0.00145981
8,30.1739,0.94184,1.25748,0.0033,0.94567,0.72321,0.95442,0.72742,0.94536,1.784,0.00474,0.00165961,0.00165961,0.00165961
9,33.0062,0.98982,1.07086,0.00366,0.93094,0.84259,0.97162,0.78388,0.84179,1.268,0.00439,0.00185651,0.00185651,0.00185651
10,35.8491,0.98725,0.97905,0.00361,0.88426,0.89286,0.96618,0.75777,0.86707,0.74999,0.00478,0.0018812,0.0018812,0.0018812
11,38.6835,0.94503,0.84698,0.00355,0.89409,0.90455,0.96772,0.75633,0.89359,0.66712,0.00473,0.001868,0.001868,0.001868
12,41.7156,0.95636,0.77615,0.00362,0.86855,0.88492,0.9629,0.71919,1.02923,0.5586,0.0058,0.0018548,0.0018548,0.0018548
13,44.6189,0.96336,0.70958,0.00364,0.83393,0.91071,0.95486,0.73854,0.91516,0.54166,0.00505,0.0018416,0.0018416,0.0018416
14,47.5032,0.93228,0.66748,0.00346,0.89804,0.86505,0.95429,0.77722,0.78842,0.4857,0.0043,0.0018284,0.0018284,0.0018284
