epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8864,0.43337,6.26389,0.12185,0.79138,0.967,0.89404,0.66417,0.24767,0.45387,0.0704,0.00058,0.00058,0.00058
2,23.8259,0.33798,0.44839,0.08295,0.75919,0.82353,0.77544,0.54626,0.60895,0.4132,0.33809,0.00117221,0.00117221,0.00117221
3,35.0779,0.35757,0.44816,0.08695,0.71537,0.93641,0.87739,0.69051,0.23938,0.55096,0.0679,0.0017565,0.0017565,0.0017565
4,46.7813,0.35323,0.52112,0.08174,0.50114,0.90196,0.56804,0.45633,0.23872,0.78108,0.07328,0.0019604,0.0019604,0.0019604
5,57.9585,0.37229,0.54672,0.0835,0.96026,0.98039,0.98974,0.66738,0.33367,0.40725,0.10163,0.0019472,0.0019472,0.0019472
6,69.2,0.34441,0.45212,0.08414,0.95884,0.96078,0.96961,0.73125,0.27634,0.42619,0.08649,0.001934,0.001934,0.001934
7,80.8835,0.33291,0.46521,0.07487,0.97705,0.98039,0.97856,0.79978,0.20753,0.33204,0.06053,0.0019208,0.0019208,0.0019208
8,92.6173,0.30455,0.41869,0.07216,0.94134,1,0.97905,0.81836,0.19647,0.3239,0.05256,0.0019076,0.0019076,0.0019076
9,104.299,0.30772,0.42349,0.06972,0.95702,1,0.98627,0.74286,0.28224,0.3747,0.06923,0.0018944,0.0018944,0.0018944
10,115.429,0.29581,0.38983,0.06656,0.99809,1,0.995,0.77552,0.23878,0.33235,0.064,0.0018812,0.0018812,0.0018812
11,126.528,0.3214,0.40159,0.06495,0.97453,1,0.98712,0.8226,0.19653,0.30193,0.05353,0.001868,0.001868,0.001868
12,138.138,0.31667,0.38175,0.07654,0.99702,1,0.995,0.80239,0.2218,0.30566,0.05668,0.0018548,0.0018548,0.0018548
13,149.332,0.28485,0.36489,0.07223,0.97782,1,0.99442,0.84954,0.18452,0.28552,0.04824,0.0018416,0.0018416,0.0018416
14,160.931,0.27236,0.36159,0.06279,0.8833,1,0.91898,0.77496,0.18324,0.35346,0.05007,0.0018284,0.0018284,0.0018284
15,172.074,0.25082,0.33205,0.05995,0.99849,1,0.995,0.8516,0.16709,0.25828,0.04393,0.0018152,0.0018152,0.0018152
16,183.592,0.28223,0.3638,0.06135,0.99773,1,0.995,0.83548,0.19351,0.28317,0.05155,0.001802,0.001802,0.001802
17,194.887,0.29712,0.35852,0.07198,0.99656,1,0.995,0.73628,0.30392,0.37114,0.06962,0.0017888,0.0017888,0.0017888
18,205.964,0.29465,0.4072,0.07157,0.9965,1,0.995,0.82182,0.21782,0.32988,0.05662,0.0017756,0.0017756,0.0017756
19,217.353,0.30557,0.41099,0.06835,0.94204,0.95622,0.97369,0.76932,0.2555,0.42273,0.06897,0.0017624,0.0017624,0.0017624
20,228.669,0.29235,0.37414,0.067,0.84665,0.98039,0.91702,0.75979,0.2044,0.42436,0.05784,0.0017492,0.0017492,0.0017492
21,239.789,0.25979,0.39524,0.05765,0.90893,0.98039,0.97137,0.82898,0.18165,0.35626,0.04477,0.001736,0.001736,0.001736
22,250.954,0.24295,0.34237,0.05262,0.9262,1,0.94902,0.79945,0.17872,0.31034,0.0455,0.0017228,0.0017228,0.0017228
23,262.246,0.25935,0.40045,0.05881,0.94212,0.95747,0.97903,0.81843,0.20562,0.35444,0.06277,0.0017096,0.0017096,0.0017096
24,273.597,0.27236,0.37478,0.05923,0.97946,1,0.98596,0.86529,0.15896,0.25981,0.04015,0.0016964,0.0016964,0.0016964
25,285.295,0.24993,0.36807,0.05333,0.99876,1,0.995,0.84437,0.18314,0.27671,0.04854,0.0016832,0.0016832,0.0016832
26,296.474,0.27611,0.36704,0.06087,0.99707,1,0.995,0.85061,0.18708,0.28528,0.05394,0.00167,0.00167,0.00167
27,307.764,0.2585,0.34134,0.06544,0.99776,1,0.995,0.88408,0.14917,0.24381,0.04419,0.0016568,0.0016568,0.0016568
28,319.642,0.23964,0.33234,0.05238,0.96116,1,0.97444,0.84328,0.1723,0.28411,0.04488,0.0016436,0.0016436,0.0016436
29,330.781,0.23088,0.3365,0.04838,0.97861,1,0.99481,0.86843,0.16862,0.27424,0.04611,0.0016304,0.0016304,0.0016304
30,341.986,0.25096,0.36894,0.05784,0.97581,1,0.97692,0.83229,0.17415,0.28411,0.04899,0.0016172,0.0016172,0.0016172
31,353.149,0.25646,0.3771,0.06183,0.92788,0.66667,0.68671,0.59015,0.59737,0.72239,0.36053,0.001604,0.001604,0.001604
32,364.506,0.29334,0.43778,0.07032,0.77342,0.15686,0.12967,0.08894,nan,nan,nan,0.0015908,0.0015908,0.0015908
33,375.686,0.30309,0.47764,0.07196,0.4508,0.09804,0.06741,0.03634,nan,nan,nan,0.0015776,0.0015776,0.0015776
34,386.849,0.26478,0.49944,0.06114,0.90806,1,0.96025,0.79486,0.21589,0.4046,0.05305,0.0015644,0.0015644,0.0015644
35,398.038,0.27118,0.43671,0.06357,0.89706,0.7451,0.77769,0.65381,0.35695,0.54794,0.17033,0.0015512,0.0015512,0.0015512
36,409.398,0.26574,0.42711,0.06169,0.96137,0.97609,0.96838,0.8135,0.18405,0.34477,0.05203,0.001538,0.001538,0.001538
37,420.49,0.25917,0.41179,0.05851,0.9752,1,0.995,0.8456,0.17842,0.29039,0.04856,0.0015248,0.0015248,0.0015248
38,431.807,0.27759,0.4128,0.06613,0.92036,1,0.97545,0.83232,0.17075,0.32517,0.04502,0.0015116,0.0015116,0.0015116
39,442.956,0.25869,0.36818,0.05875,0.9978,0.98039,0.99444,0.82433,0.20975,0.30872,0.06325,0.0014984,0.0014984,0.0014984
40,454.287,0.27516,0.38297,0.05975,0.96041,1,0.98346,0.83403,0.18691,0.29703,0.04921,0.0014852,0.0014852,0.0014852
41,465.583,0.27767,0.37945,0.062,0.92654,1,0.99387,0.82866,0.20305,0.33469,0.05593,0.001472,0.001472,0.001472
42,476.83,0.27825,0.38832,0.06942,0.97849,0.98039,0.99167,0.85345,0.16993,0.29477,0.04681,0.0014588,0.0014588,0.0014588
43,488.04,0.25527,0.36255,0.05859,0.97872,1,0.98423,0.86269,0.16272,0.2753,0.04421,0.0014456,0.0014456,0.0014456
44,499.507,0.22941,0.34005,0.05165,0.99878,1,0.995,0.87569,0.15786,0.24852,0.03995,0.0014324,0.0014324,0.0014324
45,510.767,0.22779,0.34775,0.05336,1,0.99851,0.995,0.86994,0.16306,0.26787,0.04249,0.0014192,0.0014192,0.0014192
46,522.188,0.23287,0.3366,0.05201,0.99679,0.98039,0.99411,0.87386,0.16078,0.26461,0.04563,0.001406,0.001406,0.001406
47,533.337,0.24915,0.3244,0.05645,0.9984,1,0.995,0.85964,0.16647,0.25507,0.04623,0.0013928,0.0013928,0.0013928
