epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3077,0.38364,4.17147,0.10733,0.95701,0.99379,0.98808,0.78851,0.20331,0.52038,0.06524,0.000657534,0.000657534,0.000657534
2,52.3556,0.32182,0.4292,0.07474,0.96862,0.99107,0.99272,0.78737,nan,nan,nan,0.00131546,0.00131546,0.00131546
3,77.4422,0.33198,0.46049,0.07727,0.94334,0.91964,0.94025,0.75027,0.24482,0.47993,0.08288,0.00196459,0.00196459,0.00196459
4,101.905,0.39583,0.53334,0.10053,0.9492,0.74107,0.8014,0.53349,nan,nan,nan,0.0019604,0.0019604,0.0019604
5,126.593,0.37078,0.5102,0.08915,0.96355,0.95536,0.97767,0.7586,0.27164,0.36056,0.10973,0.0019472,0.0019472,0.0019472
6,151.245,0.36917,0.47991,0.09051,0.97864,0.85714,0.85289,0.70633,nan,nan,nan,0.001934,0.001934,0.001934
7,176.04,0.33433,0.42979,0.07877,0.98473,0.99107,0.99491,0.82753,0.1842,0.28979,0.05593,0.0019208,0.0019208,0.0019208
8,201.221,0.30754,0.42695,0.07177,0.91831,0.9033,0.87902,0.68854,0.25416,0.46274,0.08181,0.0019076,0.0019076,0.0019076
9,225.813,0.31232,0.43328,0.07265,0.97754,0.97321,0.99422,0.81813,0.2023,0.31582,0.0627,0.0018944,0.0018944,0.0018944
10,250.535,0.31311,0.39829,0.07746,0.93698,0.97321,0.98556,0.82371,0.19264,0.32839,0.06353,0.0018812,0.0018812,0.0018812
11,275.249,0.29242,0.39404,0.06978,0.95687,0.99041,0.98246,0.80739,0.1926,0.29695,0.06156,0.001868,0.001868,0.001868
12,299.786,0.32005,0.43374,0.07558,0.91601,0.97321,0.97317,0.7919,0.21118,0.35418,0.07141,0.0018548,0.0018548,0.0018548
13,324.458,0.29229,0.39173,0.06316,0.8924,0.88865,0.94629,0.76146,nan,nan,nan,0.0018416,0.0018416,0.0018416
14,349.116,0.28242,0.40071,0.06275,0.96302,0.92997,0.93463,0.76934,nan,nan,nan,0.0018284,0.0018284,0.0018284
15,373.883,0.27331,0.40207,0.06269,0.94116,0.99967,0.9758,0.80812,0.20269,0.32312,0.0627,0.0018152,0.0018152,0.0018152
16,398.774,0.28496,0.40431,0.06412,0.92305,0.99107,0.96771,0.81291,0.17854,0.34833,0.0576,0.001802,0.001802,0.001802
17,423.569,0.27478,0.42298,0.06132,0.98241,0.99707,0.9836,0.78704,0.22439,0.32389,0.06354,0.0017888,0.0017888,0.0017888
18,448.465,0.27425,0.40953,0.06157,0.96485,0.98044,0.98633,0.83612,0.18302,0.31696,0.05613,0.0017756,0.0017756,0.0017756
19,473.831,0.25845,0.39539,0.0611,0.95683,0.98946,0.98483,0.82173,0.19494,0.31376,0.06208,0.0017624,0.0017624,0.0017624
20,498.94,0.27948,0.40616,0.06583,0.92728,0.96429,0.95197,0.78446,0.22532,0.37944,0.08509,0.0017492,0.0017492,0.0017492
21,523.842,0.2792,0.37998,0.06359,0.93483,0.91071,0.91695,0.78153,0.19392,0.46527,0.06445,0.001736,0.001736,0.001736
22,548.873,0.24936,0.36542,0.05763,0.96315,1,0.96917,0.81976,0.18436,0.30825,0.05426,0.0017228,0.0017228,0.0017228
23,575.247,0.27108,0.39044,0.06606,0.79757,0.99107,0.8318,0.69293,0.19931,0.43944,0.06029,0.0017096,0.0017096,0.0017096
24,600.012,0.25373,0.4029,0.0557,0.97359,0.98758,0.99239,0.86414,0.16203,0.28795,0.04936,0.0016964,0.0016964,0.0016964
25,625.001,0.24778,0.37997,0.05715,0.93996,0.97321,0.96755,0.84917,0.16002,0.31198,0.04858,0.0016832,0.0016832,0.0016832
26,649.856,0.24226,0.3663,0.05349,0.98236,0.99458,0.995,0.86768,0.15287,0.26948,0.04869,0.00167,0.00167,0.00167
27,675.092,0.24842,0.36286,0.05483,0.9849,0.98214,0.99212,0.84572,0.17828,0.30264,0.05183,0.0016568,0.0016568,0.0016568
28,699.738,0.25481,0.42537,0.05911,0.93669,1,0.95857,0.79919,0.19268,0.34864,0.05959,0.0016436,0.0016436,0.0016436
29,724.215,0.26178,0.42496,0.05767,0.93257,1,0.96,0.83028,0.16563,0.29157,0.04943,0.0016304,0.0016304,0.0016304
