epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3226,0.43251,6.29485,0.11902,0.82722,0.90196,0.92014,0.65185,0.32176,0.47056,0.10998,0.00058,0.00058,0.00058
2,23.2013,0.37241,0.46721,0.09186,0.93314,0.82105,0.88635,0.64127,0.30115,0.64768,0.08656,0.00117221,0.00117221,0.00117221
3,34.4822,0.38377,0.48273,0.09323,0.9201,0.94118,0.94312,0.74174,0.25942,0.47985,0.0814,0.0017565,0.0017565,0.0017565
4,46.1444,0.32361,0.43622,0.07416,0.97375,1,0.99212,0.78787,0.24065,0.3453,0.06683,0.0019604,0.0019604,0.0019604
5,57.8272,0.31618,0.45027,0.06818,0.95912,1,0.98227,0.81083,0.22224,0.33041,0.05558,0.0019472,0.0019472,0.0019472
6,69.3262,0.33451,0.40502,0.07725,0.9621,0.99545,0.97921,0.76438,0.25501,0.36159,0.06912,0.001934,0.001934,0.001934
7,80.5504,0.36735,0.40622,0.08809,0.96137,1,0.99173,0.77902,0.24562,0.33613,0.07354,0.0019208,0.0019208,0.0019208
8,91.6695,0.32126,0.38342,0.07575,0.97895,1,0.995,0.80519,0.21828,0.31199,0.06481,0.0019076,0.0019076,0.0019076
9,102.885,0.33981,0.40552,0.08009,0.89003,1,0.96545,0.72113,0.28754,0.38737,0.07916,0.0018944,0.0018944,0.0018944
10,114.035,0.313,0.39744,0.07579,0.97795,1,0.99404,0.80485,0.22162,0.32467,0.0591,0.0018812,0.0018812,0.0018812
11,125.157,0.29723,0.42462,0.06262,0.97922,1,0.995,0.83901,0.19124,0.29574,0.05016,0.001868,0.001868,0.001868
12,136.949,0.29069,0.3651,0.06703,0.97447,1,0.98942,0.82692,0.20797,0.30745,0.05033,0.0018548,0.0018548,0.0018548
13,148.046,0.26493,0.36737,0.05974,0.99739,1,0.995,0.83008,0.20396,0.30003,0.05479,0.0018416,0.0018416,0.0018416
14,159.185,0.27505,0.3747,0.06477,0.97864,1,0.99481,0.83281,0.19749,0.29253,0.0555,0.0018284,0.0018284,0.0018284
15,170.313,0.27274,0.36184,0.06815,0.99823,1,0.995,0.79609,0.23393,0.31145,0.06483,0.0018152,0.0018152,0.0018152
16,181.512,0.29641,0.37564,0.0661,0.97606,1,0.98942,0.79957,0.2204,0.31541,0.07063,0.001802,0.001802,0.001802
17,192.792,0.28181,0.38215,0.06762,0.97475,1,0.99404,0.84886,0.18302,0.29185,0.04911,0.0017888,0.0017888,0.0017888
18,204.6,0.26387,0.39572,0.06119,0.96033,1,0.98345,0.81263,0.20127,0.31305,0.05307,0.0017756,0.0017756,0.0017756
19,215.924,0.29166,0.38274,0.06657,0.99563,1,0.995,0.79774,0.23931,0.32294,0.06496,0.0017624,0.0017624,0.0017624
20,227.177,0.28928,0.37543,0.06394,0.80985,0.66812,0.65835,0.51205,0.42993,0.89518,0.14169,0.0017492,0.0017492,0.0017492
