epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.93434,1.90923,5.1204,0.00806,0.00203,0.60784,0.00185,0.00089,0.97887,4.86534,0.00446,8e-05,8e-05,8e-05
2,8.1675,1.64377,4.97876,0.00702,0.00294,0.88235,0.00629,0.0035,1.12374,4.53943,0.00525,0.000178812,0.000178812,0.000178812
3,9.8971,1.20138,4.19447,0.00455,0.00333,1,0.01551,0.00911,0.90659,4.41412,0.00407,0.000276304,0.000276304,0.000276304
4,11.5038,1.1721,3.30028,0.00419,0.00333,1,0.02714,0.01507,0.80085,4.299,0.0037,0.000372476,0.000372476,0.000372476
5,13.1281,1.07631,2.72349,0.00389,0.00333,1,0.01241,0.00761,0.89222,4.24147,0.00402,0.000467328,0.000467328,0.000467328
6,14.9853,1.04445,2.55768,0.00396,0.00333,1,0.00973,0.00668,0.88176,4.34422,0.00407,0.00056086,0.00056086,0.00056086
7,16.5941,1.03346,2.48144,0.00387,0.00333,1,0.00977,0.00727,0.79359,4.28309,0.00351,0.000653072,0.000653072,0.000653072
8,18.35,1.02682,2.11371,0.00381,0.00333,1,0.00977,0.00786,0.71768,4.0912,0.00331,0.000743964,0.000743964,0.000743964
9,20.4463,0.9617,2.05121,0.0036,0.00333,1,0.06464,0.04988,0.75624,3.99886,0.00354,0.000833536,0.000833536,0.000833536
10,22.1092,0.9865,1.80595,0.00355,0.00333,1,0.22114,0.17678,0.74885,3.91898,0.00344,0.000921788,0.000921788,0.000921788
11,23.8227,1.0018,1.62034,0.00355,0.00333,1,0.60814,0.48618,0.74812,3.55696,0.0034,0.00100872,0.00100872,0.00100872
12,25.4742,0.9638,1.5701,0.00345,0.00333,1,0.56067,0.4661,0.65197,3.57891,0.00287,0.00109433,0.00109433,0.00109433
13,27.1259,0.93583,1.47094,0.0035,0.00333,1,0.92133,0.74065,0.72023,3.27315,0.00329,0.00117862,0.00117862,0.00117862
14,28.7769,1.00549,1.35236,0.00375,0.64104,0.98039,0.93435,0.74234,0.78712,3.18253,0.00371,0.0012616,0.0012616,0.0012616
15,30.3678,0.94983,1.24664,0.00352,1,0.11085,0.9549,0.76268,0.74103,2.8727,0.0035,0.00134325,0.00134325,0.00134325
16,32.0211,0.93663,1.18295,0.00355,1,0.22387,0.93465,0.7397,0.80783,2.58768,0.00364,0.00142358,0.00142358,0.00142358
17,33.6028,0.98519,1.11322,0.00368,1,0.69008,0.9573,0.73138,0.91889,2.11346,0.00424,0.00150259,0.00150259,0.00150259
18,35.2199,0.93517,1.06193,0.00346,0.91652,0.64588,0.92127,0.67668,0.92068,1.89994,0.00406,0.00158028,0.00158028,0.00158028
19,36.7947,0.96374,0.98405,0.00341,0.82478,0.84314,0.92578,0.69218,1.01316,1.49412,0.00472,0.00165666,0.00165666,0.00165666
20,38.5391,0.96268,0.95621,0.00354,0.91578,0.85292,0.962,0.76041,0.93534,1.18255,0.00467,0.00173171,0.00173171,0.00173171
21,40.2016,0.96075,0.91336,0.00363,0.81794,0.70474,0.88771,0.66212,0.99675,1.41498,0.0051,0.001736,0.001736,0.001736
22,41.7815,1.02029,0.90945,0.00395,0.86543,0.90196,0.95385,0.68789,1.08631,0.81946,0.00572,0.0017228,0.0017228,0.0017228
23,43.3452,1.02384,0.82732,0.00427,0.82361,0.91561,0.94231,0.71714,0.94333,0.84444,0.00487,0.0017096,0.0017096,0.0017096
24,44.9331,0.93728,0.77078,0.00334,0.95115,0.92157,0.97592,0.72429,1.0579,0.59729,0.00555,0.0016964,0.0016964,0.0016964
25,46.5947,0.93544,0.73924,0.00354,0.89564,0.98039,0.97219,0.75654,0.89085,0.50576,0.00445,0.0016832,0.0016832,0.0016832
26,48.1905,0.97116,0.70009,0.00365,0.89751,0.85862,0.96324,0.75221,0.91526,0.56518,0.0045,0.00167,0.00167,0.00167
27,49.8172,0.89835,0.68527,0.00325,0.90317,0.91458,0.96355,0.75591,0.90199,0.46969,0.00459,0.0016568,0.0016568,0.0016568
28,51.399,0.90193,0.62572,0.0033,0.94468,0.92157,0.98093,0.70588,1.08065,0.42872,0.00614,0.0016436,0.0016436,0.0016436
29,53.0636,0.92289,0.57521,0.00353,0.90434,0.92691,0.98278,0.73978,1.00151,0.42564,0.00527,0.0016304,0.0016304,0.0016304
30,54.7451,0.88053,0.59211,0.00337,0.8799,0.98039,0.96883,0.75192,0.86013,0.50104,0.00408,0.0016172,0.0016172,0.0016172
31,56.4017,0.93443,0.56654,0.00331,0.99226,0.90196,0.98584,0.84783,0.65202,0.35718,0.00291,0.001604,0.001604,0.001604
32,57.9933,0.92967,0.54873,0.00334,0.96589,0.88235,0.98065,0.79601,0.81603,0.39022,0.00387,0.0015908,0.0015908,0.0015908
33,59.5621,0.88372,0.50967,0.00318,0.92914,0.92157,0.978,0.73294,1.00728,0.44708,0.00483,0.0015776,0.0015776,0.0015776
34,61.2416,0.92437,0.55066,0.00352,0.9581,0.89678,0.98327,0.72063,1.07956,0.50228,0.00622,0.0015644,0.0015644,0.0015644
35,62.8789,0.84543,0.49637,0.00317,0.94957,0.96078,0.98593,0.80194,0.80135,0.35236,0.00387,0.0015512,0.0015512,0.0015512
36,64.5286,0.90645,0.50588,0.00334,0.89206,1,0.98476,0.82668,0.69424,0.33219,0.00319,0.001538,0.001538,0.001538
37,66.0804,0.81745,0.46154,0.00302,0.9656,0.94118,0.99104,0.83847,0.69221,0.32565,0.00313,0.0015248,0.0015248,0.0015248
38,67.6436,0.91451,0.48584,0.00341,0.97808,0.98039,0.9917,0.84882,0.68791,0.26465,0.00315,0.0015116,0.0015116,0.0015116
39,69.3051,0.87431,0.45192,0.00306,0.92553,0.9749,0.98439,0.78763,0.78264,0.35015,0.00375,0.0014984,0.0014984,0.0014984
40,70.9597,0.85975,0.46342,0.0031,0.99541,0.96078,0.99387,0.79682,0.83699,0.33158,0.00424,0.0014852,0.0014852,0.0014852
41,72.5535,0.88858,0.48482,0.00317,0.95998,0.94118,0.98787,0.83262,0.67777,0.28969,0.00304,0.001472,0.001472,0.001472
42,74.1557,0.89227,0.46293,0.00326,0.97359,0.88235,0.98411,0.79789,0.78272,0.37485,0.00361,0.0014588,0.0014588,0.0014588
43,75.7642,0.81584,0.45223,0.00301,0.99308,0.96078,0.9935,0.79748,0.83351,0.3051,0.00398,0.0014456,0.0014456,0.0014456
44,77.4187,0.79673,0.41231,0.00297,0.99616,0.96078,0.99368,0.7925,0.84466,0.3028,0.00405,0.0014324,0.0014324,0.0014324
45,79.0294,0.88923,0.41776,0.0033,0.9605,0.95361,0.98784,0.84243,0.70067,0.30259,0.0032,0.0014192,0.0014192,0.0014192
46,80.7159,0.80878,0.4207,0.00318,0.90989,0.98039,0.9857,0.82122,0.71976,0.30024,0.00314,0.001406,0.001406,0.001406
47,82.3505,0.81587,0.4178,0.00302,0.89074,1,0.98548,0.79338,0.81914,0.34389,0.00392,0.0013928,0.0013928,0.0013928
48,84.0669,0.82921,0.41265,0.00323,0.90289,0.96078,0.9843,0.80275,0.78684,0.33898,0.00368,0.0013796,0.0013796,0.0013796
49,85.7045,0.79863,0.4041,0.00313,0.9036,0.98039,0.98648,0.79928,0.79078,0.34321,0.0037,0.0013664,0.0013664,0.0013664
50,87.3231,0.85824,0.40902,0.00327,0.98028,0.97474,0.99423,0.79336,0.82047,0.29825,0.00409,0.0013532,0.0013532,0.0013532
51,88.9189,0.82242,0.38927,0.00294,0.89102,0.96078,0.98135,0.83788,0.68199,0.32492,0.00319,0.00134,0.00134,0.00134
52,90.5012,0.80982,0.3744,0.00297,0.943,0.9732,0.99004,0.81054,0.77007,0.30468,0.00357,0.0013268,0.0013268,0.0013268
53,92.1706,0.76467,0.38601,0.0028,0.94882,0.96078,0.98431,0.82851,0.64501,0.33903,0.00299,0.0013136,0.0013136,0.0013136
54,93.7634,0.77851,0.38621,0.00304,0.9675,0.96078,0.98871,0.80453,0.77038,0.3615,0.00401,0.0013004,0.0013004,0.0013004
55,95.3332,0.79896,0.37609,0.00316,0.97895,0.91198,0.98355,0.79592,0.79899,0.34433,0.00382,0.0012872,0.0012872,0.0012872
