epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6835,1.76683,5.23034,0.00753,0.00246,0.88776,0.00426,0.00248,1.18851,4.93883,0.00587,0.0002,0.0002,0.0002
2,14.0843,1.1463,3.81991,0.00414,0.00274,0.9898,0.01338,0.00619,0.85562,4.61252,0.00387,0.000417228,0.000417228,0.000417228
3,17.0534,1.08242,2.79263,0.00386,0.00277,1,0.00745,0.00513,0.78434,4.62699,0.00364,0.000631552,0.000631552,0.000631552
4,20.0685,0.98917,2.27932,0.00361,0.00277,1,0.00803,0.00619,0.79064,4.49683,0.00377,0.000842972,0.000842972,0.000842972
5,23.2022,0.98698,1.85354,0.00359,0.00277,1,0.53163,0.37716,1.00179,4.02312,0.00488,0.00105149,0.00105149,0.00105149
6,26.0808,0.95248,1.58364,0.00362,0.89303,0.77551,0.89918,0.66956,0.88039,3.56789,0.00419,0.0012571,0.0012571,0.0012571
7,28.9534,1.00311,1.36389,0.00369,0.93388,0.43239,0.90311,0.7179,0.80466,2.71446,0.00385,0.00145981,0.00145981,0.00145981
8,32.0131,0.99573,1.24466,0.0037,0.82022,0.79148,0.87172,0.70265,0.85469,1.73054,0.00414,0.00165961,0.00165961,0.00165961
9,35.118,0.97381,1.11511,0.00376,0.84167,0.85714,0.91851,0.73777,0.86861,1.17101,0.00424,0.00185651,0.00185651,0.00185651
10,38.1319,0.96972,0.96481,0.00375,0.91005,0.85714,0.96176,0.71601,0.9694,1.05682,0.0044,0.0018812,0.0018812,0.0018812
11,41.0261,0.98358,0.86917,0.00359,0.90283,0.84694,0.95623,0.65603,1.23446,0.80285,0.00655,0.001868,0.001868,0.001868
12,44.086,1.02124,0.7975,0.00401,0.87679,0.95918,0.97402,0.79725,0.81525,0.41956,0.00407,0.0018548,0.0018548,0.0018548
13,47.0448,0.9233,0.6686,0.00334,0.89583,0.91837,0.9774,0.76579,0.85528,0.4364,0.00454,0.0018416,0.0018416,0.0018416
14,49.9815,0.91365,0.62979,0.00341,0.87385,0.95918,0.9696,0.79449,0.7623,0.40606,0.00352,0.0018284,0.0018284,0.0018284
15,52.9725,0.96967,0.60713,0.00364,0.92689,0.94898,0.98392,0.7471,0.97381,0.38507,0.00546,0.0018152,0.0018152,0.0018152
16,56.3195,0.9263,0.58022,0.00333,0.96956,0.97512,0.98804,0.7568,0.88931,0.47991,0.00442,0.001802,0.001802,0.001802
17,59.3205,0.86583,0.51782,0.00323,0.91005,0.92912,0.97614,0.79658,0.76003,0.44582,0.00369,0.0017888,0.0017888,0.0017888
18,62.49,0.87367,0.48412,0.00321,0.97886,0.9452,0.98943,0.76787,0.9035,0.36052,0.00465,0.0017756,0.0017756,0.0017756
19,65.4372,0.88413,0.45638,0.00331,0.9877,0.93878,0.98877,0.74634,0.96949,0.3522,0.00504,0.0017624,0.0017624,0.0017624
20,68.5164,0.8938,0.46768,0.00341,0.9456,0.97959,0.99131,0.77165,0.85114,0.31213,0.00414,0.0017492,0.0017492,0.0017492
21,71.4016,0.90081,0.47727,0.0035,0.94871,0.94373,0.98589,0.81808,0.68474,0.3352,0.00319,0.001736,0.001736,0.001736
22,74.3011,0.86175,0.42088,0.0032,0.96725,0.90404,0.98312,0.80412,0.74765,0.3382,0.00345,0.0017228,0.0017228,0.0017228
23,77.2962,0.83875,0.40324,0.0031,0.9696,0.97654,0.98751,0.815,0.71526,0.27753,0.00312,0.0017096,0.0017096,0.0017096
24,80.3521,0.91197,0.40354,0.00359,0.96972,0.98037,0.98915,0.81244,0.7423,0.28652,0.00344,0.0016964,0.0016964,0.0016964
25,83.3337,0.84302,0.36506,0.00309,0.95098,0.98987,0.99124,0.8254,0.72553,0.26023,0.00361,0.0016832,0.0016832,0.0016832
26,86.2141,0.84191,0.37221,0.00319,0.97797,0.90619,0.98646,0.80947,0.74778,0.33751,0.00395,0.00167,0.00167,0.00167
27,89.2011,0.82013,0.38547,0.00296,0.89771,0.98515,0.98664,0.79449,0.81046,0.32676,0.00416,0.0016568,0.0016568,0.0016568
28,92.2323,0.86032,0.40065,0.00329,0.94993,0.96939,0.99057,0.77743,0.84721,0.30664,0.00446,0.0016436,0.0016436,0.0016436
29,95.2094,0.81409,0.37014,0.00305,0.9192,0.9898,0.98903,0.71747,1.03867,0.3497,0.00601,0.0016304,0.0016304,0.0016304
30,98.2438,0.84159,0.36487,0.00315,0.97042,0.96939,0.99062,0.77003,0.89174,0.32567,0.00418,0.0016172,0.0016172,0.0016172
31,101.231,0.82916,0.3522,0.00307,0.99938,0.95918,0.99323,0.79694,0.7947,0.26449,0.00412,0.001604,0.001604,0.001604
32,104.734,0.83007,0.35115,0.00304,0.98075,0.94898,0.99223,0.8426,0.65883,0.26149,0.00309,0.0015908,0.0015908,0.0015908
33,108.373,0.82816,0.34568,0.00321,0.97918,0.95969,0.99283,0.82721,0.70375,0.24617,0.00351,0.0015776,0.0015776,0.0015776
34,112.053,0.81401,0.33739,0.00297,0.97009,0.9898,0.99155,0.8248,0.73029,0.26839,0.00335,0.0015644,0.0015644,0.0015644
35,115.73,0.78546,0.33015,0.003,0.98798,0.95918,0.99073,0.77815,0.85321,0.29502,0.00438,0.0015512,0.0015512,0.0015512
36,119.166,0.78812,0.33517,0.00297,0.94312,0.97959,0.98879,0.78059,0.81098,0.32892,0.004,0.001538,0.001538,0.001538
37,122.717,0.87032,0.34302,0.00319,0.95838,0.93985,0.9881,0.82953,0.68486,0.30159,0.00315,0.0015248,0.0015248,0.0015248
38,126.069,0.79042,0.31875,0.00296,0.97947,0.97362,0.99163,0.78278,0.86044,0.3689,0.00421,0.0015116,0.0015116,0.0015116
39,129.483,0.78227,0.31108,0.00277,0.98646,0.97959,0.99322,0.79612,0.83303,0.26173,0.00428,0.0014984,0.0014984,0.0014984
40,133.172,0.76844,0.30361,0.00278,0.98351,0.96939,0.9938,0.86062,0.60399,0.22809,0.00274,0.0014852,0.0014852,0.0014852
41,136.814,0.7474,0.30925,0.00276,0.96912,0.96082,0.99021,0.82719,0.6847,0.26325,0.00313,0.001472,0.001472,0.001472
42,140.589,0.77006,0.30729,0.00269,0.99735,0.94898,0.99332,0.83147,0.69042,0.24277,0.00334,0.0014588,0.0014588,0.0014588
43,144.264,0.77927,0.30779,0.00277,0.97023,0.99757,0.99389,0.8546,0.63273,0.23517,0.0029,0.0014456,0.0014456,0.0014456
44,148.061,0.76747,0.29821,0.00285,0.97021,0.99713,0.99257,0.82506,0.71579,0.22917,0.00346,0.0014324,0.0014324,0.0014324
45,151.754,0.76627,0.28821,0.00286,0.98967,0.97727,0.99339,0.83679,0.68955,0.22132,0.00306,0.0014192,0.0014192,0.0014192
46,155.563,0.76546,0.29659,0.00275,0.95996,0.97959,0.99174,0.83788,0.64767,0.2402,0.00293,0.001406,0.001406,0.001406
47,159.24,0.77171,0.28963,0.00283,0.9603,0.98744,0.9925,0.80564,0.76702,0.27435,0.00367,0.0013928,0.0013928,0.0013928
48,162.911,0.74093,0.28694,0.00274,0.9895,0.96129,0.99353,0.79737,0.79334,0.24657,0.00366,0.0013796,0.0013796,0.0013796
49,166.581,0.75511,0.28747,0.00267,0.9871,0.97959,0.99402,0.85501,0.62444,0.19969,0.00274,0.0013664,0.0013664,0.0013664
50,170.354,0.72653,0.26667,0.00265,0.96829,0.9898,0.99327,0.84806,0.63297,0.21117,0.00288,0.0013532,0.0013532,0.0013532
51,174.062,0.72486,0.28022,0.00264,0.96134,0.9898,0.99325,0.83185,0.69588,0.23291,0.00313,0.00134,0.00134,0.00134
52,177.708,0.71373,0.27527,0.00256,1,0.98574,0.9948,0.87186,0.55817,0.19285,0.00247,0.0013268,0.0013268,0.0013268
53,181.358,0.73946,0.28087,0.00268,0.99874,0.96939,0.99392,0.80442,0.76208,0.25034,0.00355,0.0013136,0.0013136,0.0013136
54,185.16,0.74875,0.28936,0.00277,0.98969,0.97958,0.99342,0.84755,0.62636,0.21584,0.00284,0.0013004,0.0013004,0.0013004
55,188.86,0.73419,0.25851,0.00266,0.97817,0.9898,0.99331,0.85106,0.6236,0.21573,0.00295,0.0012872,0.0012872,0.0012872
56,192.593,0.74381,0.26579,0.00269,0.99651,0.9898,0.9948,0.82598,0.7256,0.23955,0.00351,0.001274,0.001274,0.001274
57,196.325,0.73164,0.26898,0.00268,1,0.95664,0.99326,0.84857,0.58354,0.20709,0.00273,0.0012608,0.0012608,0.0012608
