epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.13246,1.79786,5.38395,0.00755,0.00209,0.62745,0.002,0.00106,0.80207,4.8875,0.00379,0.0001,0.0001,0.0001
2,6.02249,1.33373,4.89506,0.00545,0.00327,0.98039,0.00889,0.00527,1.24636,4.6411,0.00612,0.000218548,0.000218548,0.000218548
3,7.85958,1.10205,4.08423,0.00425,0.00333,1,0.18899,0.0729,1.06851,4.58475,0.00501,0.000335512,0.000335512,0.000335512
4,9.78643,1.07398,3.26822,0.00406,0.00333,1,0.09819,0.04863,0.7794,4.29373,0.00374,0.000450892,0.000450892,0.000450892
5,11.7388,1.05133,2.87551,0.00385,0.00333,1,0.03597,0.0155,0.72562,4.34003,0.00339,0.000564688,0.000564688,0.000564688
6,13.7375,0.98943,2.56689,0.00355,0.00333,1,0.01016,0.0071,0.80411,4.46732,0.00387,0.0006769,0.0006769,0.0006769
7,15.6693,1.05118,2.48119,0.00412,0.00333,1,0.01029,0.00705,0.88652,4.3642,0.00411,0.000787528,0.000787528,0.000787528
8,17.6709,1.0474,2.11433,0.00388,0.00333,1,0.00948,0.00705,0.79756,4.32654,0.00387,0.000896572,0.000896572,0.000896572
9,19.522,0.98858,1.95047,0.00352,0.00333,1,0.70149,0.49132,1.01138,3.89809,0.00469,0.00100403,0.00100403,0.00100403
10,21.4,0.9511,1.75445,0.00365,0.00333,1,0.76152,0.59239,0.76044,3.66312,0.00374,0.00110991,0.00110991,0.00110991
11,23.1731,0.95406,1.64532,0.00353,1,0.14243,0.91322,0.71786,0.79507,3.25552,0.00391,0.0012142,0.0012142,0.0012142
12,24.9772,0.92629,1.4704,0.00345,1,0.42607,0.94753,0.65251,1.12435,2.94813,0.00593,0.00131691,0.00131691,0.00131691
13,26.7981,0.99845,1.33156,0.00367,0.94913,0.73183,0.95875,0.6876,1.08799,2.27349,0.00602,0.00141803,0.00141803,0.00141803
14,28.671,0.9185,1.27176,0.00351,0.93076,0.79081,0.96366,0.71573,0.96759,1.84392,0.00472,0.00151757,0.00151757,0.00151757
15,30.5121,0.90314,1.13103,0.00331,0.90803,0.7745,0.93473,0.72719,0.83461,1.61097,0.0043,0.00161553,0.00161553,0.00161553
16,32.361,0.90995,1.05395,0.00352,0.95675,0.7451,0.92643,0.68928,0.95267,1.59483,0.00491,0.0017119,0.0017119,0.0017119
17,34.1891,0.89109,0.97091,0.00344,0.88653,0.76602,0.93859,0.76044,0.74355,1.18954,0.00374,0.0017888,0.0017888,0.0017888
18,35.9717,0.97488,0.95823,0.00379,0.89986,0.90196,0.96292,0.74839,0.92303,0.84539,0.00468,0.0017756,0.0017756,0.0017756
19,37.8118,0.94672,0.85314,0.00383,0.84812,0.87601,0.94474,0.74863,0.81893,0.81792,0.00423,0.0017624,0.0017624,0.0017624
20,39.603,0.93801,0.81587,0.00356,0.93399,0.83244,0.97011,0.79118,0.79325,0.87373,0.00404,0.0017492,0.0017492,0.0017492
